code,name,region,salesTaxRate,fdicRegion
AL,Alabama,SOUTH,0.0400,ATLANTA
AK,Alaska,WEST,0.0000,SAN_FRANCISCO
AZ,Arizona,WEST,0.0560,SAN_FRANCISCO
AR,Arkansas,SOUTH,0.0650,DALLAS
CA,California,WEST,0.0725,SAN_FRANCISCO
CO,Colorado,WEST,0.0290,KANSAS_CITY
CT,Connecticut,NORTHEAST,0.0635,NEW_YORK
DE,Delaware,NORTHEAST,0.0000,NEW_YORK
FL,Florida,SOUTH,0.0600,ATLANTA
GA,Georgia,SOUTH,0.0400,ATLANTA
HI,Hawaii,WEST,0.0400,SAN_FRANCISCO
ID,Idaho,WEST,0.0600,SAN_FRANCISCO
IL,Illinois,MIDWEST,0.0625,CHICAGO
IN,Indiana,MIDWEST,0.0700,CHICAGO
IA,Iowa,MIDWEST,0.0600,CHICAGO
KS,Kansas,MIDWEST,0.0650,KANSAS_CITY
KY,Kentucky,SOUTH,0.0600,ATLANTA
LA,Louisiana,SOUTH,0.0445,DALLAS
ME,Maine,NORTHEAST,0.0550,NEW_YORK
MD,Maryland,NORTHEAST,0.0600,NEW_YORK
MA,Massachusetts,NORTHEAST,0.0625,NEW_YORK
MI,Michigan,MIDWEST,0.0600,CHICAGO
MN,Minnesota,MIDWEST,0.0688,CHICAGO
MS,Mississippi,SOUTH,0.0700,DALLAS
MO,Missouri,MIDWEST,0.0423,KANSAS_CITY
MT,Montana,WEST,0.0000,SAN_FRANCISCO
NE,Nebraska,MIDWEST,0.0550,KANSAS_CITY
NV,Nevada,WEST,0.0685,SAN_FRANCISCO
NH,New Hampshire,NORTHEAST,0.0000,NEW_YORK
NJ,New Jersey,NORTHEAST,0.0663,NEW_YORK
NM,New Mexico,WEST,0.0513,DALLAS
NY,New York,NORTHEAST,0.0400,NEW_YORK
NC,North Carolina,SOUTH,0.0475,ATLANTA
ND,North Dakota,MIDWEST,0.0500,KANSAS_CITY
OH,Ohio,MIDWEST,0.0575,CHICAGO
OK,Oklahoma,SOUTH,0.0450,DALLAS
OR,Oregon,WEST,0.0000,SAN_FRANCISCO
PA,Pennsylvania,NORTHEAST,0.0600,NEW_YORK
RI,Rhode Island,NORTHEAST,0.0700,NEW_YORK
SC,South Carolina,SOUTH,0.0600,ATLANTA
SD,South Dakota,MIDWEST,0.0450,KANSAS_CITY
TN,Tennessee,SOUTH,0.0700,ATLANTA
TX,Texas,SOUTH,0.0625,DALLAS
UT,Utah,WEST,0.0485,SAN_FRANCISCO
VT,Vermont,NORTHEAST,0.0600,NEW_YORK
VA,Virginia,SOUTH,0.0530,ATLANTA
WA,Washington,WEST,0.0650,SAN_FRANCISCO
WV,West Virginia,SOUTH,0.0600,ATLANTA
WI,Wisconsin,MIDWEST,0.0500,CHICAGO
WY,Wyoming,WEST,0.0400,KANSAS_CITY
